,context,question,answer
103,"Điều 205: Nguyên tắc tiến hành hòa giải Trong thời hạn chuẩn bị xét xử sơ thẩm vụ án, Tòa án tiến hành hòa giải để các đương sự thoả thuận với nhau về việc giải quyết vụ án, trừ những vụ án không được hòa giải hoặc không tiến hành hòa giải được quy định tại Điều 206 và Điều 207 của Bộ luật này hoặc vụ án được giải quyết theo thủ tục rút gọn: Việc hòa giải được tiến hành theo các nguyên tắc sau đây Tôn trọng sự tự nguyện thoả thuận của các đương sự, không được dùng vũ lực hoặc đe dọa dùng vũ lực, bắt buộc các đương sự phải thoả thuận không phù hợp với ý chí của mình Nội dung thoả thuận giữa các đương sự không vi phạm điều cấm của luật, không trái đạo đức xã hội",Điều gì quy định về nguyên tắc tiến hành hòa giải theo Điều 205?,"Điều 205 quy định rằng việc hòa giải phải tuân thủ các nguyên tắc sau đây: tôn trọng sự tự nguyện thoả thuận của các đương sự, không được dùng vũ lực hoặc đe dọa dùng vũ lực, không bắt buộc các đương sự phải thoả thuận không phù hợp với ý chí của họ, và nội dung thoả thuận giữa các đương sự không vi phạm điều cấm của luật và không trái đạo đức xã hội."
79,"Điều 25: Bảo đảm quyền khiếu nại, tố cáo trong tố tụng dân sự Cơ quan, tổ chức, cá nhân có quyền khiếu nại, cá nhân có quyền tố cáo những hành vi, quyết định trái pháp luật của cơ quan tiến hành tố tụng, người tiến hành tố tụng hoặc của bất cứ cơ quan, tổ chức, cá nhân nào trong hoạt động tố tụng dân sự: Cơ quan, tổ chức, cá nhân có thẩm quyền phải tiếp nhận, xem xét và giải quyết kịp thời, đúng pháp luật khiếu nại, tố cáo thông báo bằng văn bản về kết quả giải quyết cho người đã khiếu nại, tố cáo",Ai có quyền khiếu nại và tố cáo trong tố tụng dân sự theo Điều 25?,"Cơ quan, tổ chức và cá nhân có quyền khiếu nại và tố cáo những hành vi, quyết định trái pháp luật của cơ quan tiến hành tố tụng, người tiến hành tố tụng, hoặc bất cứ cơ quan, tổ chức, cá nhân nào trong hoạt động tố tụng dân sự."
55,"Điều 234: Nội quy phiên tòa Khi vào phòng xử án, mọi người đều phải chấp hành việc kiểm tra an ninh của lực lượng có trách nhiệm bảo vệ phiên tòa: Nghiêm cấm mang vào phòng xử án vũ khí, hung khí, chất nổ, chất cháy, chất độc, chất phóng xạ, đồ vật cấm lưu hành, truyền đơn, khẩu hiệu và tài liệu, đồ vật khác ảnh hưởng đến sự tôn nghiêm của phiên tòa, trừ vật chứng của vụ án phục vụ cho công tác xét xử hoặc vũ khí, công cụ hỗ trợ được người có thẩm quyền mang theo để làm nhiệm vụ bảo vệ phiên tòa: Người tham gia phiên tòa theo yêu cầu của Tòa án phải xuất trình giấy triệu tập, giấy mời, các giấy tờ có liên quan khác cho Thư ký phiên tòa tại bàn thư ký chậm nhất là 15 phút trước giờ khai mạc phiên tòa và ngồi đúng vị trí trong phòng xử án theo hướng dẫn của Thư ký phiên tòa trường hợp đến muộn thì phải xuất trình giấy triệu tập, giấy mời, các giấy tờ có liên quan khác cho Thư ký phiên tòa thông qua lực lượng làm nhiệm vụ bảo vệ phiên tòa: Nhà báo tham dự phiên tòa để đưa tin về diễn biến phiên tòa phải chấp hành sự điều khiển của chủ tọa phiên tòa về khu vực tác nghiệp: Nhà báo ghi âm lời nói, ghi hình ảnh của Hội đồng xét xử phải được sự đồng ý của chủ tọa phiên tòa: Việc ghi âm lời nói, ghi hình ảnh của đương sự, người tham gia tố tụng khác phải được sự đồng ý của họ: Mọi người tham dự phiên tòa phải có trang phục nghiêm chỉnh có thái độ tôn trọng Hội đồng xét xử, giữ trật tự và tuân theo sự điều khiển của chủ tọa phiên tòa: Không đội mũ, nón, đeo kính màu trong phòng xử án, trừ trường hợp có lý do chính đáng và được sự đồng ý của chủ tọa phiên tòa không sử dụng điện thoại di động, không hút thuốc, không ăn uống trong phòng xử án hoặc có hành vi khác ảnh hưởng đến sự tôn nghiêm của phiên tòa: Người tham gia phiên tòa theo yêu cầu của Tòa án phải có mặt tại phiên tòa trong suốt thời gian xét xử vụ án, trừ trường hợp được chủ tọa phiên tòa đồng ý cho rời khỏi phòng xử án khi có lý do chính đáng: Người dưới mười sáu tuổi không được vào phòng xử án, trừ trường hợp được Tòa án triệu tập tham gia phiên tòa: Mọi người trong phòng xử án phải đứng dậy khi Hội đồng xét xử vào phòng xử án và khi tuyên án, trừ trường hợp đặc biệt được sự đồng ý của chủ tọa phiên tòa: Chỉ những người được Hội đồng xét xử đồng ý mới được hỏi, trả lời hoặc phát biểu: Người hỏi, trả lời hoặc phát biểu phải đứng dậy, trừ trường hợp vì lý do sức khỏe được chủ tọa phiên tòa đồng ý cho ngồi để hỏi, trả lời, phát biểu",Ai không được phép vào phòng xử án?,"Người dưới mười sáu tuổi không được phép vào phòng xử án, trừ trường hợp được Tòa án triệu tập tham gia phiên tòa."
37,"Điều 136: Buộc thực hiện biện pháp bảo đảm Người yêu cầu Tòa án áp dụng một trong các biện pháp khẩn cấp tạm thời quy định tại các khoản 6, 7, 8, 10, 11, 15 và 16 Điều 114 của Bộ luật này phải nộp cho Tòa án chứng từ bảo lãnh được bảo đảm bằng tài sản của ngân hàng hoặc tổ chức tín dụng khác hoặc của cơ quan, tổ chức, cá nhân khác hoặc gửi một khoản tiền, kim khí quý, đá quý hoặc giấy tờ có giá do Tòa án ấn định nhưng phải tương đương với tổn thất hoặc thiệt hại có thể phát sinh do hậu quả của việc áp dụng biện pháp khẩn cấp tạm thời không đúng để bảo vệ lợi ích của người bị áp dụng biện pháp khẩn cấp tạm thời và ngăn ngừa sự lạm dụng quyền yêu cầu áp dụng biện pháp khẩn cấp tạm thời từ phía người có quyền yêu cầu: Đối với trường hợp quy định tại khoản 2 Điều 111 của Bộ luật này thì thời hạn thực hiện biện pháp bảo đảm quy định tại khoản này không được quá 48 giờ, kể từ thời điểm nộp đơn yêu cầu: Khoản tiền, kim khí quý, đá quý hoặc giấy tờ có giá phải được gửi vào tài khoản phong tỏa tại ngân hàng nơi có trụ sở của Tòa án quyết định áp dụng biện pháp khẩn cấp tạm thời trong thời hạn do Tòa án ấn định: Trong trường hợp thực hiện biện pháp bảo đảm vào ngày lễ hoặc ngày nghỉ thì khoản tiền bảo đảm được gửi giữ tại Tòa án: Tòa án phải làm thủ tục giao nhận và gửi ngay khoản tiền đó vào ngân hàng vào ngày làm việc tiếp theo",Biện pháp khẩn cấp tạm thời được thực hiện trong bao lâu sau khi nộp đơn yêu cầu?,"Đối với trường hợp quy định tại khoản 2 Điều 111 của Bộ luật này, thời hạn thực hiện biện pháp bảo đảm quy định tại khoản này không được quá 48 giờ, kể từ thời điểm nộp đơn yêu cầu."
117,Điều 386: Hiệu lực của quyết định thông báo tìm kiếm người vắng mặt tại nơi cư trú: Quyết định thông báo tìm kiếm người vắng mặt tại nơi cư trú quy định tại Điều 383 của Bộ luật này đương nhiên hết hiệu lực trong trường hợp người cần tìm kiếm trở về,Quyết định thông báo tìm kiếm người vắng mặt tại nơi cư trú có hiệu lực trong bao lâu?,Quyết định thông báo tìm kiếm người vắng mặt tại nơi cư trú có hiệu lực cho đến khi người cần tìm kiếm trở về.
1,"Điều 175: Thủ tục cấp, tống đạt, thông báo văn bản tố tụng Người thực hiện việc cấp, tống đạt, thông báo văn bản tố tụng phải trực tiếp chuyển giao cho người được cấp, tống đạt, thông báo văn bản tố tụng có liên quan: Người được cấp, tống đạt, thông báo phải ký nhận vào biên bản hoặc sổ giao nhận văn bản tố tụng: Thời điểm để tính thời hạn tố tụng là ngày họ được cấp, tống đạt, thông báo văn bản tố tụng: Việc cấp, tống đạt, thông báo văn bản tố tụng qua dịch vụ bưu chính phải bằng thư bảo đảm và có xác nhận của người nhận văn bản tố tụng: Văn bản có xác nhận phải được chuyển lại cho Tòa án: Thời điểm để tính thời hạn tố tụng là ngày họ xác nhận đã nhận được văn bản tố tụng do tổ chức dịch vụ bưu chính chuyển đến","Ai là người thực hiện việc cấp, tống đạt, thông báo văn bản tố tụng?","Người thực hiện việc cấp, tống đạt, thông báo văn bản tố tụng là người có liên quan đến vụ việc."
25,"Điều 425: Quyền yêu cầu công nhận và cho thi hành hoặc không công nhận bản án, quyết định dân sự của Tòa án nước ngoài công nhận và cho thi hành phán quyết của Trọng tài nước ngoài Người được thi hành hoặc người đại diện hợp pháp của họ có quyền yêu cầu Tòa án Việt Nam công nhận và cho thi hành tại Việt Nam bản án, quyết định dân sự của Tòa án nước ngoài, phán quyết của Trọng tài nước ngoài, nếu cá nhân phải thi hành cư trú, làm việc tại Việt Nam hoặc cơ quan, tổ chức phải thi hành có trụ sở chính tại Việt Nam hoặc tài sản liên quan đến việc thi hành bản án, quyết định dân sự của Tòa án nước ngoài, phán quyết của Trọng tài nước ngoài có tại Việt Nam vào thời điểm yêu cầu: Người phải thi hành hoặc người đại diện hợp pháp của họ có quyền yêu cầu Tòa án Việt Nam không công nhận bản án, quyết định dân sự của Tòa án nước ngoài: Đương sự, người có quyền, lợi ích hợp pháp liên quan hoặc người đại diện hợp pháp của họ có quyền yêu cầu Tòa án Việt Nam không công nhận bản án, quyết định dân sự của của Tòa án nước ngoài không có yêu cầu thi hành tại Việt Nam","Quyền yêu cầu công nhận bản án, quyết định dân sự của Tòa án nước ngoài áp dụng trong trường hợp nào?","Quyền yêu cầu công nhận bản án, quyết định dân sự của Tòa án nước ngoài áp dụng trong trường hợp cá nhân hoặc cơ quan, tổ chức có liên quan đến vụ án có trụ sở tại Việt Nam hoặc có tài sản liên quan đến việc thi hành bản án, quyết định dân sự của Tòa án nước ngoài có tại Việt Nam vào thời điểm yêu cầu."
107,"Điều 216: Quyết định tiếp tục giải quyết vụ án dân sự Trong thời hạn 03 ngày làm việc, kể từ ngày lý do tạm đình chỉ giải quyết vụ án quy định tại Điều 214 của Bộ luật này không còn thì Tòa án phải ra quyết định tiếp tục giải quyết vụ án dân sự và gửi quyết định đó cho đương sự, cơ quan, tổ chức, cá nhân khởi kiện, Viện kiểm sát cùng cấp: Quyết định tạm đình chỉ giải quyết vụ án dân sự hết hiệu lực kể từ ngày ban hành quyết định tiếp tục giải quyết vụ án dân sự: Tòa án tiếp tục giải quyết vụ án kể từ khi ban hành quyết định tiếp tục giải quyết vụ án dân sự",Tòa án phải ra quyết định tiếp tục giải quyết vụ án dân sự trong bao lâu sau khi quyết định tạm đình chỉ không còn hiệu lực?,"Tòa án phải ra quyết định tiếp tục giải quyết vụ án dân sự trong thời hạn 03 ngày làm việc, kể từ ngày lý do tạm đình chỉ không còn hiệu lực."
80,"Điều 25: Bảo đảm quyền khiếu nại, tố cáo trong tố tụng dân sự Cơ quan, tổ chức, cá nhân có quyền khiếu nại, cá nhân có quyền tố cáo những hành vi, quyết định trái pháp luật của cơ quan tiến hành tố tụng, người tiến hành tố tụng hoặc của bất cứ cơ quan, tổ chức, cá nhân nào trong hoạt động tố tụng dân sự: Cơ quan, tổ chức, cá nhân có thẩm quyền phải tiếp nhận, xem xét và giải quyết kịp thời, đúng pháp luật khiếu nại, tố cáo thông báo bằng văn bản về kết quả giải quyết cho người đã khiếu nại, tố cáo",Làm thế nào để khiếu nại và tố cáo được thực hiện?,"Khiếu nại và tố cáo phải được thực hiện bằng văn bản và gửi đến cơ quan, tổ chức hoặc cá nhân có thẩm quyền."
186,"Điều 72: Quyền, nghĩa vụ của bị đơn Các quyền, nghĩa vụ của đương sự quy định tại Điều 70 của Bộ luật này: Được Tòa án thông báo về việc bị khởi kiện: Chấp nhận hoặc bác bỏ một phần hoặc toàn bộ yêu cầu của nguyên đơn, người có quyền lợi, nghĩa vụ liên quan có yêu cầu độc lập: Đưa ra yêu cầu phản tố đối với nguyên đơn, nếu có liên quan đến yêu cầu của nguyên đơn hoặc đề nghị đối trừ với nghĩa vụ của nguyên đơn: Đối với yêu cầu phản tố thì bị đơn có quyền, nghĩa vụ của nguyên đơn quy định tại Điều 71 của Bộ luật này: Đưa ra yêu cầu độc lập đối với người có quyền lợi, nghĩa vụ liên quan và yêu cầu độc lập này có liên quan đến việc giải quyết vụ án: Đối với yêu cầu độc lập thì bị đơn có quyền, nghĩa vụ của nguyên đơn quy định tại Điều 71 của Bộ luật này: Trường hợp yêu cầu phản tố hoặc yêu cầu độc lập không được Tòa án chấp nhận để giải quyết trong cùng vụ án thì bị đơn có quyền khởi kiện vụ án khác","Khi yêu cầu phản tố hoặc yêu cầu độc lập không được Tòa án chấp nhận để giải quyết trong cùng vụ án, bị đơn có quyền làm gì?","Khi yêu cầu phản tố hoặc yêu cầu độc lập không được Tòa án chấp nhận để giải quyết trong cùng vụ án, bị đơn có quyền khởi kiện vụ án khác."
184,"Điều 72: Quyền, nghĩa vụ của bị đơn Các quyền, nghĩa vụ của đương sự quy định tại Điều 70 của Bộ luật này: Được Tòa án thông báo về việc bị khởi kiện: Chấp nhận hoặc bác bỏ một phần hoặc toàn bộ yêu cầu của nguyên đơn, người có quyền lợi, nghĩa vụ liên quan có yêu cầu độc lập: Đưa ra yêu cầu phản tố đối với nguyên đơn, nếu có liên quan đến yêu cầu của nguyên đơn hoặc đề nghị đối trừ với nghĩa vụ của nguyên đơn: Đối với yêu cầu phản tố thì bị đơn có quyền, nghĩa vụ của nguyên đơn quy định tại Điều 71 của Bộ luật này: Đưa ra yêu cầu độc lập đối với người có quyền lợi, nghĩa vụ liên quan và yêu cầu độc lập này có liên quan đến việc giải quyết vụ án: Đối với yêu cầu độc lập thì bị đơn có quyền, nghĩa vụ của nguyên đơn quy định tại Điều 71 của Bộ luật này: Trường hợp yêu cầu phản tố hoặc yêu cầu độc lập không được Tòa án chấp nhận để giải quyết trong cùng vụ án thì bị đơn có quyền khởi kiện vụ án khác",Bị đơn trong một vụ án có quyền làm gì theo Điều 72 của Bộ luật này?,"Bị đơn trong một vụ án có quyền được thông báo về việc bị khởi kiện, chấp nhận hoặc bác bỏ một phần hoặc toàn bộ yêu cầu của nguyên đơn, người có quyền lợi, nghĩa vụ liên quan có yêu cầu độc lập, đưa ra yêu cầu phản tố đối với nguyên đơn, nếu có liên quan đến yêu cầu của nguyên đơn, và đề nghị đối trừ với nghĩa vụ của nguyên đơn."
2,"Điều 175: Thủ tục cấp, tống đạt, thông báo văn bản tố tụng Người thực hiện việc cấp, tống đạt, thông báo văn bản tố tụng phải trực tiếp chuyển giao cho người được cấp, tống đạt, thông báo văn bản tố tụng có liên quan: Người được cấp, tống đạt, thông báo phải ký nhận vào biên bản hoặc sổ giao nhận văn bản tố tụng: Thời điểm để tính thời hạn tố tụng là ngày họ được cấp, tống đạt, thông báo văn bản tố tụng: Việc cấp, tống đạt, thông báo văn bản tố tụng qua dịch vụ bưu chính phải bằng thư bảo đảm và có xác nhận của người nhận văn bản tố tụng: Văn bản có xác nhận phải được chuyển lại cho Tòa án: Thời điểm để tính thời hạn tố tụng là ngày họ xác nhận đã nhận được văn bản tố tụng do tổ chức dịch vụ bưu chính chuyển đến","Người được cấp, tống đạt, thông báo văn bản tố tụng phải làm gì sau khi nhận được văn bản?","Người được cấp, tống đạt, thông báo văn bản tố tụng phải ký nhận vào biên bản hoặc sổ giao nhận văn bản tố tụng."
12,"Điều 13: Trách nhiệm của cơ quan tiến hành tố tụng, người tiến hành tố tụng Cơ quan tiến hành tố tụng, người tiến hành tố tụng phải tôn trọng Nhân dân và chịu sự giám sát của Nhân dân: Tòa án có nhiệm vụ bảo vệ công lý, bảo vệ quyền con người, quyền công dân, bảo vệ chế độ xã hội chủ nghĩa, bảo vệ lợi ích của Nhà nước, quyền và lợi ích hợp pháp của tổ chức, cá nhân: Viện kiểm sát có nhiệm vụ bảo vệ pháp luật, bảo vệ quyền con người, quyền công dân, bảo vệ chế độ xã hội chủ nghĩa, bảo vệ lợi ích của Nhà nước, quyền và lợi ích hợp pháp của tổ chức, cá nhân, góp phần bảo đảm pháp luật được chấp hành nghiêm chỉnh và thống nhất: Cơ quan tiến hành tố tụng, người tiến hành tố tụng phải giữ bí mật nhà nước, bí mật công tác theo quy định của pháp luật giữ gìn thuần phong mỹ tục của dân tộc, bảo vệ người chưa thành niên, giữ bí mật nghề nghiệp, bí mật kinh doanh, bí mật cá nhân, bí mật gia đình của đương sự theo yêu cầu chính đáng của họ: Cơ quan tiến hành tố tụng, người tiến hành tố tụng chịu trách nhiệm trước pháp luật về việc thực hiện nhiệm vụ, quyền hạn của mình: Trường hợp người tiến hành tố tụng có hành vi trái pháp luật thì tùy theo tính chất, mức độ vi phạm mà bị xử lý kỷ luật hoặc bị truy cứu trách nhiệm hình sự theo quy định của pháp luật: Người tiến hành tố tụng trong khi thực hiện nhiệm vụ, quyền hạn của mình có hành vi trái pháp luật gây thiệt hại cho cơ quan, tổ chức, cá nhân thì cơ quan trực tiếp quản lý người thi hành công vụ có hành vi trái pháp luật đó phải bồi thường cho người bị thiệt hại theo quy định của pháp luật về trách nhiệm bồi thường của Nhà nước",Hành vi trái pháp luật của người tiến hành tố tụng có thể bị xử lý như thế nào?,"Trường hợp người tiến hành tố tụng có hành vi trái pháp luật, họ có thể bị xử lý kỷ luật hoặc bị truy cứu trách nhiệm hình sự theo quy định của pháp luật."
82,"Điều 25: Bảo đảm quyền khiếu nại, tố cáo trong tố tụng dân sự Cơ quan, tổ chức, cá nhân có quyền khiếu nại, cá nhân có quyền tố cáo những hành vi, quyết định trái pháp luật của cơ quan tiến hành tố tụng, người tiến hành tố tụng hoặc của bất cứ cơ quan, tổ chức, cá nhân nào trong hoạt động tố tụng dân sự: Cơ quan, tổ chức, cá nhân có thẩm quyền phải tiếp nhận, xem xét và giải quyết kịp thời, đúng pháp luật khiếu nại, tố cáo thông báo bằng văn bản về kết quả giải quyết cho người đã khiếu nại, tố cáo",Có thời hạn cụ thể cho việc giải quyết khiếu nại và tố cáo không?,"Pháp luật không đề ra thời hạn cụ thể cho việc giải quyết khiếu nại và tố cáo, nhưng yêu cầu giải quyết kịp thời và đúng pháp luật."
94,"Điều 258: Kết thúc việc hỏi tại phiên tòa Khi nhận thấy các tình tiết của vụ án đã được xem xét đầy đủ thì chủ tọa phiên tòa hỏi Kiểm sát viên, đương sự, người bảo vệ quyền và lợi ích hợp pháp của đương sự và những người tham gia tố tụng khác xem họ có yêu cầu hỏi vấn đề gì nữa không trường hợp có người yêu cầu và xét thấy yêu cầu đó là có căn cứ thì chủ tọa phiên tòa quyết định tiếp tục việc hỏi",Ai có quyền yêu cầu hỏi thêm về vấn đề gì tại phiên tòa?,Đương sự và những người tham gia tố tụng khác có quyền yêu cầu hỏi thêm về các vấn đề mà họ cho là quan trọng và liên quan đến vụ án tại phiên tòa.
151,"Điều 502: Thời hiệu khiếu nại Thời hiệu khiếu nại là 15 ngày, kể từ ngày người khiếu nại nhận được hoặc biết được quyết định, hành vi tố tụng mà người đó cho rằng có vi phạm pháp luật: Trường hợp có sự kiện bất khả kháng hoặc trở ngại khách quan mà người khiếu nại không thực hiện được quyền khiếu nại theo đúng thời hạn quy định tại Điều này thì thời gian có sự kiện bất khả kháng hoặc trở ngại khách quan đó không tính vào thời hiệu khiếu nại",Có trường hợp nào khiến thời hiệu khiếu nại không tính vào thời gian khiếu nại?,Trường hợp có sự kiện bất khả kháng hoặc trở ngại khách quan mà người khiếu nại không thực hiện được quyền khiếu nại theo đúng thời hạn quy định tại Điều này thì thời gian có sự kiện bất khả kháng hoặc trở ngại khách quan đó không tính vào thời hiệu khiếu nại.
9,"Điều 13: Trách nhiệm của cơ quan tiến hành tố tụng, người tiến hành tố tụng Cơ quan tiến hành tố tụng, người tiến hành tố tụng phải tôn trọng Nhân dân và chịu sự giám sát của Nhân dân: Tòa án có nhiệm vụ bảo vệ công lý, bảo vệ quyền con người, quyền công dân, bảo vệ chế độ xã hội chủ nghĩa, bảo vệ lợi ích của Nhà nước, quyền và lợi ích hợp pháp của tổ chức, cá nhân: Viện kiểm sát có nhiệm vụ bảo vệ pháp luật, bảo vệ quyền con người, quyền công dân, bảo vệ chế độ xã hội chủ nghĩa, bảo vệ lợi ích của Nhà nước, quyền và lợi ích hợp pháp của tổ chức, cá nhân, góp phần bảo đảm pháp luật được chấp hành nghiêm chỉnh và thống nhất: Cơ quan tiến hành tố tụng, người tiến hành tố tụng phải giữ bí mật nhà nước, bí mật công tác theo quy định của pháp luật giữ gìn thuần phong mỹ tục của dân tộc, bảo vệ người chưa thành niên, giữ bí mật nghề nghiệp, bí mật kinh doanh, bí mật cá nhân, bí mật gia đình của đương sự theo yêu cầu chính đáng của họ: Cơ quan tiến hành tố tụng, người tiến hành tố tụng chịu trách nhiệm trước pháp luật về việc thực hiện nhiệm vụ, quyền hạn của mình: Trường hợp người tiến hành tố tụng có hành vi trái pháp luật thì tùy theo tính chất, mức độ vi phạm mà bị xử lý kỷ luật hoặc bị truy cứu trách nhiệm hình sự theo quy định của pháp luật: Người tiến hành tố tụng trong khi thực hiện nhiệm vụ, quyền hạn của mình có hành vi trái pháp luật gây thiệt hại cho cơ quan, tổ chức, cá nhân thì cơ quan trực tiếp quản lý người thi hành công vụ có hành vi trái pháp luật đó phải bồi thường cho người bị thiệt hại theo quy định của pháp luật về trách nhiệm bồi thường của Nhà nước",Viện kiểm sát có nhiệm vụ gì?,"Viện kiểm sát có nhiệm vụ bảo vệ pháp luật, bảo vệ quyền con người, quyền công dân, bảo vệ chế độ xã hội chủ nghĩa, bảo vệ lợi ích của Nhà nước, quyền và lợi ích hợp pháp của tổ chức, cá nhân, góp phần bảo đảm pháp luật được chấp hành nghiêm chỉnh và thống nhất."
96,"Điều 258: Kết thúc việc hỏi tại phiên tòa Khi nhận thấy các tình tiết của vụ án đã được xem xét đầy đủ thì chủ tọa phiên tòa hỏi Kiểm sát viên, đương sự, người bảo vệ quyền và lợi ích hợp pháp của đương sự và những người tham gia tố tụng khác xem họ có yêu cầu hỏi vấn đề gì nữa không trường hợp có người yêu cầu và xét thấy yêu cầu đó là có căn cứ thì chủ tọa phiên tòa quyết định tiếp tục việc hỏi","Nếu không có người yêu cầu hỏi thêm, phiên tòa sẽ kết thúc ở bước nào?","Nếu không có người yêu cầu hỏi thêm và các tình tiết của vụ án đã được xem xét đầy đủ, phiên tòa sẽ kết thúc tại bước đó."
110,"Điều 182: Thời hạn tố tụng Thời hạn tố tụng là một khoảng thời gian được xác định từ thời điểm này đến thời điểm khác để người tiến hành tố tụng, người tham gia tố tụng hoặc cơ quan, tổ chức, cá nhân có liên quan thực hiện hành vi tố tụng do Bộ luật này quy định: Thời hạn tố tụng có thể được xác định bằng giờ, ngày, tuần, tháng, năm hoặc bằng một sự kiện có thể sẽ xảy ra",Tại sao cần thiết có thời hạn tố tụng trong tố tụng?,Thời hạn tố tụng cần thiết để đảm bảo rằng quy trình tố tụng diễn ra một cách hiệu quả và trong khoảng thời gian hợp lý.
76,"Điều 106: Yêu cầu cơ quan, tổ chức, cá nhân cung cấp tài liệu, chứng cứ Đương sự có quyền yêu cầu cơ quan, tổ chức, cá nhân cung cấp tài liệu, chứng cứ: Khi yêu cầu cơ quan, tổ chức, cá nhân cung cấp tài liệu, chứng cứ, đương sự phải làm văn bản yêu cầu ghi rõ tài liệu, chứng cứ cần cung cấp lý do cung cấp họ, tên, địa chỉ của cá nhân, tên, địa chỉ của cơ quan, tổ chức đang quản lý, lưu giữ tài liệu, chứng cứ cần cung cấp: Cơ quan, tổ chức, cá nhân có trách nhiệm cung cấp tài liệu, chứng cứ cho đương sự trong thời hạn 15 ngày, kể từ ngày nhận được yêu cầu trường hợp không cung cấp được thì phải trả lời bằng văn bản và nêu rõ lý do cho người có yêu cầu: Trường hợp đương sự đã áp dụng các biện pháp cần thiết để thu thập tài liệu, chứng cứ mà vẫn không thể tự mình thu thập được thì có thể đề nghị Tòa án ra quyết định yêu cầu cơ quan, tổ chức, cá nhân đang lưu giữ, quản lý tài liệu, chứng cứ cung cấp cho mình hoặc đề nghị Tòa án tiến hành thu thập tài liệu, chứng cứ nhằm bảo đảm cho việc giải quyết vụ việc dân sự đúng đắn: Đương sự yêu cầu Tòa án thu thập tài liệu, chứng cứ phải làm đơn ghi rõ vấn đề cần chứng minh tài liệu, chứng cứ cần thu thập lý do mình không tự thu thập được họ, tên, địa chỉ của cá nhân, tên, địa chỉ của cơ quan, tổ chức đang quản lý, lưu giữ tài liệu, chứng cứ cần thu thập: Trường hợp có yêu cầu của đương sự hoặc khi xét thấy cần thiết, Tòa án ra quyết định yêu cầu cơ quan, tổ chức, cá nhân đang quản lý, lưu giữ cung cấp tài liệu, chứng cứ cho Tòa án: Cơ quan, tổ chức, cá nhân đang quản lý, lưu giữ tài liệu, chứng cứ có trách nhiệm cung cấp đầy đủ tài liệu, chứng cứ theo yêu cầu của Tòa án trong thời hạn 15 ngày, kể từ ngày nhận được yêu cầu hết thời hạn này mà không cung cấp đầy đủ tài liệu, chứng cứ theo yêu cầu của Tòa án thì cơ quan, tổ chức, cá nhân được yêu cầu phải trả lời bằng văn bản và nêu rõ lý do: Cơ quan, tổ chức, cá nhân không thực hiện yêu cầu của Tòa án mà không có lý do chính đáng thì tùy theo tính chất, mức độ vi phạm có thể bị xử phạt hành chính hoặc truy cứu trách nhiệm hình sự theo quy định của pháp luật: Việc xử phạt hành chính hoặc truy cứu trách nhiệm hình sự theo quy định của pháp luật đối với cơ quan, tổ chức, cá nhân không phải là lý do miễn nghĩa vụ cung cấp tài liệu, chứng cứ cho Tòa án: Trường hợp Viện kiểm sát có yêu cầu cung cấp tài liệu, chứng cứ thì cơ quan, tổ chức, cá nhân có trách nhiệm thực hiện theo quy định tại khoản 3 Điều này","Cơ quan, tổ chức, cá nhân cần cung cấp tài liệu, chứng cứ phải thực hiện những điều gì khi nhận được yêu cầu từ đương sự?","Cơ quan, tổ chức, cá nhân cần cung cấp tài liệu, chứng cứ phải trong thời hạn 15 ngày, kể từ ngày nhận được yêu cầu. Trường hợp không thể cung cấp được, họ phải trả lời bằng văn bản và nêu rõ lý do cho đương sự."
42,"Điều 43: Nguyên tắc xác định thẩm quyền của Tòa án trong trường hợp chưa có điều luật để áp dụng Thẩm quyền của Tòa án thụ lý, giải quyết vụ việc dân sự trong trường hợp chưa có điều luật để áp dụng được thực hiện theo quy định tại các điều từ Điều 35 đến Điều 41 của Bộ luật này",Nguyên tắc xác định thẩm quyền của Tòa án trong trường hợp chưa có điều luật để áp dụng được quy định ra sao?,"Theo Điều 43, thẩm quyền của Tòa án thụ lý, giải quyết vụ việc dân sự trong trường hợp chưa có điều luật để áp dụng được xác định theo quy định tại các điều từ Điều 35 đến Điều 41 của Bộ luật này."
